id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36313048,Charming bedroom with natural light in Ridgewood,16883913,Tiffany,Queens,Ridgewood,40.69919,-73.89902,Private room,85,1,2,2019-08-18,0.16,2,0
36313671,Harlem Sugar Hill Gem for a budget,19510896,Stephanie,Manhattan,Harlem,40.82539,-73.9488,Private room,65,1,7,2019-09-26,0.53,1,0
36314262,Lg and Lovely 2 bedroom in Astoria. Sleeps up to 8,273101976,Jp,Queens,Astoria,40.75825,-73.90959,Entire home/apt,109,2,11,2020-07-12,0.87,1,177
36314672,Cute Bedroom in the heart of Bushwick,115168723,Geoffrey,Brooklyn,Bushwick,40.70469,-73.92458,Private room,37,7,0,,,1,0
36315013,Make your trip the true NewYorker experience!,4351833,Isabel,Manhattan,Midtown,40.7585,-73.96846,Entire home/apt,190,3,1,2020-01-04,0.13,1,180
36315143,Tranquil Haven-8 mins to JFK/LIRR /Air Train,178272943,Sharon,Queens,Jamaica,40.671,-73.77911,Entire home/apt,320,1,7,2020-07-19,0.54,4,173
36315381,Designed & Cozy Apartment in Brooklyn 770,273112935,David,Brooklyn,Crown Heights,40.67018,-73.94642,Entire home/apt,250,5,33,2020-03-15,2.71,1,270
36315612,"Convenient Midtown 1BR w/ Gym, W/D & Doorman, Balcony, by Blueground",107434423,Blueground,Manhattan,Theater District,40.76019,-73.98435,Entire home/apt,235,30,0,,,249,324
36315759,"Quaint Tribeca Studio w/ Gym, W/D, Doorman, Garage, Valet, by Blueground",107434423,Blueground,Manhattan,Tribeca,40.714,-74.00957,Entire home/apt,358,30,0,,,249,1
36315795,Modern Bedstuy Bungalow,61872828,Madison,Brooklyn,Bedford-Stuyvesant,40.6845,-73.92914,Private room,90,1,8,2019-11-11,0.61,1,45
36315828,Lux Tribeca Studio w/ Pool + Gym + View near City Hall by Blueground,107434423,Blueground,Manhattan,Tribeca,40.71579,-74.00588,Entire home/apt,238,30,0,,,249,349
36316243,A private bedroom in shared apartment near JFK.,174197082,Deborah,Queens,Rosedale,40.65604,-73.72702,Private room,65,1,0,,,5,0
36316884,Rooftop for Photoshoots  :),62659791,Chiz,Brooklyn,Crown Heights,40.67833,-73.95349,Shared room,149,1,0,,,4,364
36318290,"Boutique Garden Apt near JFK/LGA, Jamaica Queens",116589400,Kyisha,Queens,Jamaica,40.68462,-73.79785,Entire home/apt,90,1,127,2020-08-16,11.01,1,157
36318625,Cozy Private Room in Crown Heights,50213173,Maryam,Brooklyn,Crown Heights,40.67733,-73.94878,Private room,45,30,0,,,1,0
36318764,"[CLEAN] Modern, Artistic, Cheap & Chic",21357175,Tomy,Manhattan,Washington Heights,40.8415,-73.93661,Entire home/apt,150,3,1,2019-07-31,0.08,1,72
36319036,Brooklyn Soul,22566268,Maria,Brooklyn,Bedford-Stuyvesant,40.68858,-73.95675,Private room,62,3,3,2019-07-12,0.22,1,0
36319887,Room at cool flat at the coolest place Brooklyn,3247267,Vincenza,Brooklyn,Greenpoint,40.73625,-73.95444,Private room,80,1,6,2019-08-28,0.45,1,0
36319984,Spacious 1BR 5 min from JFK international Airport,177402890,Brandon,Queens,Cambria Heights,40.69053,-73.73203,Private room,50,1,0,,,1,83
36321224,New Years Greenpoint BK Private Apto,100427647,Denise,Brooklyn,Greenpoint,40.73261,-73.95157,Entire home/apt,404,4,0,,,1,173
36321994,Luxury bedroom in Williamsburg,273170125,Lee,Brooklyn,Williamsburg,40.7128,-73.93984,Private room,99,2,9,2019-12-11,0.67,1,90
36322141,Charming and Spacious Harlem Nest,54634154,Qai,Manhattan,Harlem,40.8026,-73.95373,Private room,69,2,6,2019-08-23,0.46,1,0
36322148,Welcome Palace 2 !!!,182954454,Thaddeus,Queens,Jamaica,40.67105,-73.77308,Private room,107,2,3,2019-08-04,0.22,2,14
36323065,Lovely Home Away,273177557,Veronica,Queens,Jamaica,40.66806,-73.77658,Private room,80,1,6,2019-09-15,0.45,1,89
36329299,Central Park  2 Bedroom 2 bath Luxury Apartment,6524294,Natasha,Manhattan,Upper East Side,40.78439,-73.95762,Entire home/apt,461,5,1,2019-07-26,0.08,3,356
36333124,"NU Hotel, Double Standard Room",262224408,NU Hotel,Brooklyn,Boerum Hill,40.68961,-73.9881,Private room,205,1,2,2020-03-08,0.22,7,320
36334813,Sunny Room in the heart of Williamsburg,17379828,Caterina,Brooklyn,Williamsburg,40.70906,-73.95544,Private room,65,3,0,,,1,0
36338430,Zen Room in Creative Apt heart of N Wburg,10184022,Elisa,Brooklyn,Williamsburg,40.72078,-73.95892,Private room,81,3,4,2019-12-09,0.30,1,16
36338659,Modern Clean Single Room in Bushwick,234635363,Alice,Brooklyn,Bushwick,40.69922,-73.9313,Private room,72,1,16,2019-08-16,1.19,1,0
36339403,Private bedroom near the water and Columbia,222549093,Anna Laura,Manhattan,Morningside Heights,40.81486,-73.95795,Private room,53,3,0,,,3,0
36339521,Suite in NY's new Movie Studio Land,5498979,Alan,Queens,Ditmars Steinway,40.7772,-73.90258,Private room,75,2,0,,,1,0
36340389,Sunset Park Oasis,273283910,Ula,Brooklyn,Sunset Park,40.64559,-74.00749,Entire home/apt,146,4,12,2020-03-21,1.42,1,89
36341389,Spoon's House in Bed Stuy Brooklyn,59333822,Odehyah,Brooklyn,Bedford-Stuyvesant,40.68471,-73.92627,Private room,70,2,8,2019-12-29,0.61,1,363
36342912,Banff,273301149,Samir,Manhattan,Harlem,40.819,-73.94333,Private room,60,7,0,,,3,179
36343547,Gorgeous 3 BR with backyard 15 minutes from Soho,271799,Emmanuel,Brooklyn,Bedford-Stuyvesant,40.69378,-73.93932,Entire home/apt,336,3,19,2020-03-10,1.42,2,343
36344079,The Palace in Astoria! (15 minutes to NYC),3867848,Prince,Queens,Astoria,40.76887,-73.91128,Private room,99,1,12,2019-11-03,0.88,4,0
36344347,Beautiful apartment /1 min walk from Time Square,119005168,Noah,Manhattan,Theater District,40.75982,-73.98662,Entire home/apt,400,2,1,2019-07-14,0.08,1,0
36344450,"Female only Bright&Spacious Shared Room, Brooklyn",273312989,Pragya,Brooklyn,Bay Ridge,40.63393,-74.02937,Shared room,28,1,2,2019-08-24,0.17,1,0
36345151,Home Away from Home,273316025,Cristian,Queens,Rego Park,40.72614,-73.8594,Private room,80,1,2,2019-10-10,0.15,1,83
36346168,"Spacious, Sunny Loft near Williamsburg Waterfront",113071748,Nic,Brooklyn,Williamsburg,40.71974,-73.96061,Entire home/apt,223,3,21,2020-03-13,1.67,1,0
36347304,"World-Class Brooklyn Brownstone, near A & C Trains",245711461,Sam,Brooklyn,Crown Heights,40.67681,-73.93901,Entire home/apt,394,1,33,2020-06-29,2.67,1,325
36348332,2Private rooms Manhattan Hidden Gem.,23254491,Mory,Manhattan,East Harlem,40.80109,-73.94364,Private room,150,2,4,2019-08-06,0.30,2,21
36349092,Beautiful duplex with terrace. Up to 6 people.,273347409,Alex,Manhattan,Financial District,40.70485,-74.00822,Entire home/apt,395,3,3,2019-11-04,0.23,1,0
36349883,Charming and Trendy Brownstone near Train,36540876,Michael,Brooklyn,Crown Heights,40.67692,-73.943,Entire home/apt,735,1,41,2020-07-13,3.08,1,308
36351333,Stunning Luxury Loft in NYC's Best Neighborhood,12268556,Carlos,Manhattan,Tribeca,40.71877,-74.0026,Entire home/apt,379,3,26,2020-02-28,2.06,1,0
36352170,Spacious room in a two bedroom apartment.,55038786,Guillermo,Brooklyn,Bensonhurst,40.62056,-74.00225,Private room,35,30,2,2019-09-30,0.16,1,320
36352377,★Sunny NYC Room Near Subway★Discount,270077888,Jane,Brooklyn,Bushwick,40.69266,-73.92589,Private room,43,6,1,2019-12-22,0.13,3,72
36352604,Large 1 bedroom with backyard grill,54706499,Eberly,Manhattan,Upper East Side,40.77792,-73.94476,Entire home/apt,190,2,0,,,1,0
36353849,Hip Neighborhood/Private Bedroom in Modern Duplex,81345246,Franco,Brooklyn,Bedford-Stuyvesant,40.69053,-73.92635,Private room,65,4,3,2019-08-30,0.23,1,0
36354043,"Super Modern, Clean, Quiet Apartment in Flatlands!",270278177,Victoria,Brooklyn,Flatlands,40.63236,-73.93214,Entire home/apt,90,2,23,2020-03-18,2.16,1,163
36354114,Large Master Bedroom & private 450 sq. Ft garden,93532582,Ian,Brooklyn,Park Slope,40.66781,-73.98178,Entire home/apt,78,180,0,,,1,358
36354776,Cozy bedroom in diverse neighborhood near JFK,273393150,Liza,Queens,Richmond Hill,40.68639,-73.81847,Private room,35,2,2,2019-08-10,0.15,1,0
36354796,"✨Superb King Room , City View✨",273392981,Giorgio Residence,Queens,Long Island City,40.75716,-73.94222,Hotel room,149,1,4,2020-02-29,0.30,17,350
36355730,Lovely 2 bedroom apartment -in heart of Manhattan,230252627,Liuciferis,Manhattan,Upper West Side,40.79973,-73.96856,Entire home/apt,80,14,2,2019-08-17,0.16,1,0
36356416,[Female Only]Private Room near Columbia University,118767681,Sunny,Manhattan,Upper West Side,40.80243,-73.96637,Private room,37,1,2,2019-08-22,0.16,1,0
36358848,Prospect Lefferts Gardens Oasis & Parking,273424772,Denise,Brooklyn,Prospect-Lefferts Gardens,40.65784,-73.94484,Entire home/apt,275,5,1,2019-11-05,0.10,2,89
